Type,Sample_Type,Kingdom,Phylum,Class,Order,value
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.431367274
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
larvae,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0
larvae,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
larvae,,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
water,,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
water,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.088280294
water,,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
water,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.078258874
water,,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
water,,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.161490208
water,,Bacteria,Firmicutes,Bacilli,Bacillales,0.09248776
water,,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
water,,Bacteria,Firmicutes,Clostridia,Clostridiales,0
water,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
water,,Other,Other,Other,Other,0.040468176
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0.168910649
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.119186047
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0.020654835
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
water,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.129130967
water,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.101132191
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
water,,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
water,,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0.046912962
water,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.096981841
water,,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0.052748904
water,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.066750157
water,,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0.030407013
water,,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.086862868
water,,Bacteria,Firmicutes,Bacilli,Bacillales,0.056505949
water,,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
water,,Bacteria,Firmicutes,Clostridia,Clostridiales,0.022066374
water,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
water,,Other,Other,Other,Other,0.037921102
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.241477771
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
water,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0.141815905
water,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.087839699
water,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.031709455
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
water,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
water,,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
eggs,CNV,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
eggs,CNV,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0
eggs,CNV,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
eggs,CNV,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.049556702
eggs,CNV,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
eggs,CNV,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0
eggs,CNV,Bacteria,Firmicutes,Bacilli,Bacillales,0
eggs,CNV,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
eggs,CNV,Bacteria,Firmicutes,Clostridia,Clostridiales,0
eggs,CNV,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
eggs,CNV,Other,Other,Other,Other,0.009196771
eggs,CNV,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
eggs,CNV,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0
eggs,CNV,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
eggs,CNV,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
eggs,CNV,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.878192404
eggs,CNV,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
eggs,CNV,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.063054122
eggs,CNV,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
eggs,CNV,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
eggs,CNV,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
eggs,CNV,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
eggs,CNV,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
eggs,CNV,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
newly-emerged adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
newly-emerged adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.046357616
newly-emerged adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.055187638
newly-emerged adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.028697572
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0.041942605
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0.06401766
newly-emerged adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
newly-emerged adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
newly-emerged adults,male,Other,Other,Other,Other,0.048565121
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.119205298
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0.055187638
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.174392936
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.152317881
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0.110375276
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0.022075055
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0.037527594
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0.04415011
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
newly-emerged adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
newly-emerged adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.070707071
newly-emerged adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.070707071
newly-emerged adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.035353535
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0.080808081
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0.03030303
newly-emerged adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
newly-emerged adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
newly-emerged adults,male,Other,Other,Other,Other,0.070707071
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.02020202
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.070707071
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0.02020202
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.414141414
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0.04040404
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0.055555556
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0.02020202
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
newly-emerged adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
newly-emerged adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.041237113
newly-emerged adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.161512027
newly-emerged adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0.068728522
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0.082474227
newly-emerged adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
newly-emerged adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
newly-emerged adults,male,Other,Other,Other,Other,0.030927835
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.020618557
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.16838488
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.195876289
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0.12371134
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0.020618557
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0.058419244
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0.027491409
larvae,,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
larvae,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.462828149
larvae,,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
larvae,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.025810721
larvae,,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
larvae,,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0
larvae,,Bacteria,Firmicutes,Bacilli,Bacillales,0.079197
larvae,,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
larvae,,Bacteria,Firmicutes,Clostridia,Clostridiales,0
larvae,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
larvae,,Other,Other,Other,Other,0.058680785
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0.352084712
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
larvae,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0.021398632
larvae,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0
larvae,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
larvae,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
larvae,,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
newly-emerged adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
newly-emerged adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
newly-emerged adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0
newly-emerged adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
newly-emerged adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
newly-emerged adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
newly-emerged adults,male,Other,Other,Other,Other,0.010197402
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.989802598
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
newly-emerged adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
mature adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
mature adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.037924152
mature adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
mature adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.821689953
mature adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
mature adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.066533599
mature adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0
mature adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
mature adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
mature adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
mature adults,male,Other,Other,Other,Other,0.007318696
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0.025282768
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
mature adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.041250832
mature adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
mature adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
mature adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
mature adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.051982246
mature adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
mature adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.69156699
mature adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
mature adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.132626194
mature adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0
mature adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
mature adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
mature adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
mature adults,male,Other,Other,Other,Other,0.008801625
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0.052283157
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
mature adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.062739788
mature adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
mature adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
mature adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
mature adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0
mature adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
mature adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.719246554
mature adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
mature adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.192991687
mature adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0
mature adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
mature adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
mature adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
mature adults,male,Other,Other,Other,Other,0.023045354
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0.04303904
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,0
mature adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,0.021677365
mature adults,male,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,0
mature adults,male,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,0
mature adults,male,Bacteria,Proteobacteria,Unassigned Proteobacteria,Unassigned Proteobacteria,0
mature adults,male,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
mature adults,male,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0
mature adults,male,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,0
mature adults,male,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,0.748489666
mature adults,male,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,0
mature adults,male,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,0.174721781
mature adults,male,Bacteria,Firmicutes,Bacilli,Bacillales,0
mature adults,male,Bacteria,Firmicutes,Bacilli,Lactobacillales,0
mature adults,male,Bacteria,Firmicutes,Clostridia,Clostridiales,0
mature adults,male,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,0
mature adults,male,Other,Other,Other,Other,0.012029677
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,0.037148914
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,0
mature adults,male,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,0
